name,age,city,zipcode,phone,state_code,order_id
Jane Evans,49,Seattle,53809,498-727-3429,MA,3f7cef56-5ae6-4e38-a8f9-76b8268dd7b3
Emily Evans,34,Austin,10779,933-935-5967,WA,4b2a05d4-b7a3-4c33-b5e1-53f9d15d2a5b
Emily Adams,40,Atlanta,51977,989-779-3295,GA,d6889ba2-a8dd-4fa0-9ccd-43dd30cc7133
Emily Adams,26,Boston,81300,544-584-5798,MA,8b96033d-46d5-4d65-9469-fee7e4977411
Alex Clark,53,Atlanta,12349,326-982-5499,CO,b42e9e2e-589c-4dd5-a05f-e11f755419cd
Alex Baker,36,Austin,82609,327-740-7960,WA,a57a4f95-e8a1-4668-a1ef-1760b67fbab6
Alex Clark,49,Boston,28834,210-493-4594,TX,894b9063-199e-4e86-8ef3-7cfd595b3842
Alex Evans,52,Seattle,81265,271-813-8541,TX,723d7b3b-9bdd-4459-8aae-d87d674b994b
Chris Evans,68,Atlanta,52260,556-780-8805,CO,57b123d1-7857-4385-89ee-dead8a95cf02
John Baker,30,Boston,16067,494-785-9969,WA,b4ab55a2-1375-4fd9-852b-8781ea991cb2
Jane Clark,61,Denver,80814,900-761-1993,WA,8ad2a976-077c-48b6-9a97-51dda2185760
John Evans,50,Atlanta,15781,758-665-8614,MA,aaf90bda-8c12-4483-8956-42ba17836b1e
Chris Foster,69,Atlanta,70280,232-764-5231,WA,54ceceeb-7490-406c-a833-211cc3bf0a71
Chris Adams,46,Boston,11668,890-554-9498,CO,c07ce984-979a-45b3-8a1d-f819ccc1ddaa
Emily Evans,19,Boston,48520,438-232-6554,GA,7a9e9f0b-e132-42db-86a4-3efd70f9d53b
Emily Baker,52,Boston,71238,711-568-9866,GA,fbfd6d30-a610-4328-865a-054815596a17
Jane Evans,51,Atlanta,44895,941-444-4121,MA,efaa7ac3-b31a-41a9-a849-619265d45995
Alex Foster,30,Seattle,28781,898-575-6675,GA,9c2a8d74-4cc3-4043-b276-08bd5f4c20dd
Emily Baker,24,Boston,25003,232-983-8395,MA,9f8dbf22-669a-43ae-b75d-81eb391dd239
Jane Clark,21,Seattle,39116,210-261-2674,GA,398f3e11-e03b-4067-8f88-bbcb7918b466
Emily Baker,30,Denver,63589,441-429-3470,TX,7e534227-eeb9-4bd5-a4d3-0c49988aa1b4
Jane Foster,19,Austin,88150,749-637-7757,MA,dc15f51c-6ac8-45df-baf4-0f3d20ff0bdd
Jane Foster,53,Austin,99482,650-701-3478,WA,e5946843-5615-4d97-90e4-decd6b79d328
Alex Evans,27,Seattle,16072,327-912-4515,GA,c2787b30-61ac-4221-bad4-3531e67a3577
Jane Foster,49,Seattle,74282,940-354-8546,CO,d915ceb1-a988-43b0-802c-cff17373d1c6
Chris Baker,25,Atlanta,19112,454-254-3811,TX,8111c1bc-4a95-4c44-9b61-f34d72fd78e8
Chris Baker,25,Austin,87466,981-810-6629,WA,1d77bf3e-d443-4988-aaa4-5d6ef55cccfc
John Evans,43,Austin,11813,789-600-6268,MA,4bdbe3d3-1cc6-4bc1-aa62-169a62bed623
Emily Foster,55,Denver,36290,776-965-9136,WA,b4c64d94-d6bb-4154-b295-a5f450212963
Emily Baker,29,Seattle,17354,635-358-3679,TX,c13e68e0-e2f4-42ab-a402-9c001b11b7d9
Emily Clark,20,Seattle,44083,232-786-1381,MA,ad38dd36-16d9-4f82-80c7-4b5a4ba4f529
Jane Clark,46,Seattle,16728,540-412-2097,MA,c0a45883-c473-4e2a-ab17-1e33c3e56a25
John Baker,29,Austin,97466,426-546-7547,CO,3f6886cf-b45a-4152-8ec8-4eb3217611fd
Jane Adams,34,Austin,28928,967-724-8795,CO,07e6a0e4-92a8-46b3-a588-30720f225372
Alex Clark,42,Boston,63779,427-929-4371,GA,91309f18-3fd0-4cdc-a9fe-950a86f8d836
Emily Adams,69,Austin,65213,551-448-4455,TX,b5414cc8-98f7-437b-8431-7d0a1ef4f64c
John Adams,47,Atlanta,68508,504-991-7199,WA,f3aa60ba-3767-4c39-b14d-a9f9cb8d023b
Alex Adams,30,Seattle,91697,789-840-4649,WA,a7be1515-e72e-4c88-92f3-c17e21babb7c
Emily Baker,42,Seattle,63219,626-989-8559,MA,efe123fe-715d-43ee-b1d6-647f5b51980c
John Baker,21,Denver,27351,963-868-8291,GA,0e5473ad-8be2-49f5-b7fb-48e8cb75042a
Jane Baker,42,Austin,13512,789-421-1769,MA,f86899f6-0209-4a58-a816-f1dd38368d5e
John Foster,49,Denver,15739,459-552-8655,MA,6448f4a7-166c-4cfd-923e-8f47285f399e
Jane Clark,67,Boston,22310,933-606-1323,MA,2e1e9cca-29c7-460e-85c5-444ad11f9195
Jane Evans,55,Austin,19641,449-643-5624,TX,16944173-d237-48aa-9790-020d0585fb0e
John Clark,61,Austin,62383,536-873-8648,CO,622c62d0-52e4-4480-a81f-6b59a9cc3c82
John Evans,20,Boston,11647,659-357-7472,GA,e2e6e26b-5d98-422e-a5ba-51c7f9c56412
Alex Adams,46,Atlanta,49763,809-936-3949,GA,df12fd94-022f-49d4-aff0-628126f060dc
Emily Adams,25,Austin,70754,662-788-7633,CO,01085077-7151-4f03-a153-6afda98933a8
Alex Clark,69,Atlanta,56490,732-754-8270,GA,333038e0-50d9-412e-9654-8fac094eebd0
Chris Baker,66,Boston,89712,898-209-2948,GA,8b6dc776-53f7-4a03-89db-638e3d974f0f
Alex Clark,19,Boston,59200,713-299-6748,MA,14c2711a-9278-4911-8986-99fb4c21f548
Alex Evans,31,Austin,26026,711-885-7958,WA,10e2b6a1-e0af-4ae6-ab0c-b751a4923b86
Alex Baker,50,Atlanta,89428,260-764-2626,WA,65e18a61-9725-49e5-8600-330da46f3db4
Emily Clark,27,Austin,85830,981-545-1072,CO,072bd306-42a9-4e65-971b-27c3e8f77488
John Baker,31,Seattle,26659,936-843-4237,MA,607e892f-9925-4823-864e-a438be723a60
Emily Foster,28,Seattle,78740,439-541-8182,TX,4c5fe336-3703-4681-b003-cd4805be1ab1
Chris Foster,57,Boston,97054,553-219-2037,WA,f01e81b3-b919-4744-9202-57d2770dbe32
Emily Clark,33,Denver,19151,517-884-2889,WA,a9ba9411-0f7e-46b8-849d-9d2550d5cc14
Alex Evans,57,Atlanta,27270,436-750-9180,MA,77eea7a7-00fb-405e-8734-7719c2ce3450
John Foster,35,Seattle,51376,588-292-2827,MA,e7ecfd59-076b-4b39-a8ab-a43f93a1f327
Alex Baker,61,Seattle,34096,386-422-7025,GA,1d966466-8c7c-40d5-92e3-b252649a1c58
John Evans,53,Atlanta,37343,681-453-5345,TX,2ff4f501-2e70-4b45-89ab-b20a4cfcaa40
Chris Evans,35,Austin,53739,219-719-5638,WA,4e5b3ccb-efd8-4e36-a6c6-b771b1aee5e4
Alex Baker,56,Atlanta,54810,380-313-7041,MA,71001149-c25f-48b5-b0b8-77832a12700e
Chris Evans,22,Denver,78459,784-533-9461,CO,e61ec852-160f-48e6-a627-cf11a8c46f69
Chris Foster,56,Denver,93137,656-298-5169,GA,1a2d87e1-ebbf-4194-a100-c923a40d7939
Chris Evans,58,Atlanta,79639,392-247-5721,MA,b7b6f784-685f-401d-8ca4-b309d21feae6
Jane Adams,57,Austin,83735,362-633-8451,CO,1fdd4c95-1e2b-4428-bce9-4f6544b4e527
Jane Foster,58,Denver,17989,373-583-8742,MA,e3c65d51-5a65-4447-a4e4-8719624d2214
Alex Foster,23,Denver,64622,884-862-3567,CO,06dfafae-cf10-49e8-ba8e-903f2fb7e1fb
Jane Baker,62,Boston,41870,444-861-9396,MA,92424caf-1733-4c6d-9a4d-8e15d8148b7b
Jane Evans,59,Denver,65525,657-999-1225,CO,818f84c2-aa47-4e64-b235-423022191f22
Alex Adams,53,Austin,85381,465-948-5712,WA,6852d2fe-d9c9-4b89-a60c-3aa86ba1fda5
John Clark,30,Atlanta,20491,440-833-6343,CO,ef33b925-d789-4d09-bdb5-49a6f1c9cd89
Emily Foster,29,Boston,97051,832-653-9629,GA,072befd2-46a3-47ac-b667-d5481d8a7144
Jane Baker,54,Denver,31034,343-516-9245,MA,d4b61802-b83e-420a-89a0-a828d8e4956b
Chris Baker,43,Atlanta,89872,438-662-4842,CO,860784a1-1b11-4fae-bfbb-b4da8fc24816
Emily Evans,18,Seattle,52775,708-594-2910,WA,178a112e-9707-4e74-a3ba-2fb59234a083
Alex Foster,49,Denver,15778,322-760-4739,WA,234e85da-2433-4cd6-94eb-eddf866a9663
Chris Adams,36,Seattle,37515,729-862-4027,MA,16278b42-b658-4299-a401-774f27c36a92
Alex Clark,37,Seattle,83893,659-308-4266,CO,714591d4-aac4-48fa-808d-757aa3bf3b9a
Jane Baker,49,Austin,40858,229-260-8480,TX,3bf9162a-9d1e-4d0a-a253-8f11c06e0d5b
Jane Clark,59,Boston,62345,418-621-7629,CO,ed9fac46-f830-4a1d-8c20-17bdef406714
John Clark,20,Atlanta,68257,355-351-2826,TX,e84398f1-0345-4307-8550-c24e28b378ab
Emily Foster,38,Denver,60212,203-483-4632,TX,d8c3c29a-fa14-4118-94fc-b8cf4a94aecf
Alex Evans,38,Austin,86991,255-583-3511,CO,57a18f3d-3cdf-43bf-ad61-7200e975e0be
Jane Clark,23,Boston,14579,922-863-5334,MA,4585d18c-8b2c-4b15-ba99-ce1356740027
John Baker,63,Denver,91515,957-659-9655,TX,76e649d3-2d6f-4e78-87c9-3f3ab08d2a57
Emily Clark,25,Boston,24428,771-753-2706,WA,48be26a6-9951-4fa0-82ad-d0dd47a25172
Emily Evans,21,Atlanta,62722,411-651-7705,CO,e53bd4d1-371e-487b-9d5e-a99447892ee1
Jane Foster,70,Denver,77838,449-334-5230,GA,74555ff8-3deb-4dc1-a17d-e2b65edff20e
John Clark,39,Atlanta,33536,550-444-9733,TX,5e525cbe-531f-41ac-8dbd-ca084436e4cb
Chris Clark,55,Seattle,98599,839-238-1709,MA,b3866a5e-0c84-4d0e-a16b-24141d7cf49c
Chris Evans,21,Denver,94774,609-668-2066,CO,9dfb7185-3900-45ea-8ac9-22c3ea3d4f46
Alex Adams,26,Seattle,91097,279-394-2109,CO,bd17ac68-a31b-4087-a537-3c57535b8fc7
Alex Clark,65,Denver,63562,856-266-2133,MA,e564e2de-21a8-4d8b-8407-2216830c8814
Chris Evans,38,Denver,53989,644-526-3511,CO,afa85943-b35f-4c05-977c-37b8a4b5afbf
Emily Foster,49,Atlanta,95979,547-925-5107,GA,ae809345-1716-4192-a93d-2524bb0b9bf8
Chris Baker,51,Denver,94514,274-542-9685,GA,ee33320d-5244-4a4a-85f2-90e3863dc4c4
Chris Evans,40,Seattle,58786,773-705-1725,CO,9f1b456e-f3cc-47bc-9fcb-6a85404cd9cd
John Evans,50,Austin,89309,301-485-8841,CO,035f622e-4cee-4fdd-9414-807842eccb82
Alex Baker,70,Boston,90020,745-533-9580,GA,18aaffad-c746-4052-9dfe-dc8ebffae08c
Emily Foster,38,Atlanta,31513,900-809-8051,WA,889556b9-3235-4b97-8697-8d40932dbfc7
Alex Baker,52,Denver,29672,238-569-4557,GA,85e83c71-1d7a-4ea9-88b5-f560dc0270cb
John Foster,18,Atlanta,18506,623-355-3387,CO,b99709b3-addb-457d-bbda-c7d04388cb20
Jane Baker,43,Austin,50415,784-563-7116,MA,e1139de4-f0ed-4764-a451-42c1615855b1
Alex Evans,35,Boston,29965,812-260-9578,CO,f0076a6e-1ac5-4754-a2c4-a472b4ebbb96
Emily Clark,49,Atlanta,17090,530-978-7374,GA,51287700-a5b8-4cf9-aebd-428eaafc49a7
Alex Clark,27,Denver,30127,709-380-4659,TX,d9f0a05f-bd4d-44b7-8dba-32c3ea8b0e9e
Emily Foster,42,Seattle,21334,791-811-3447,CO,7708f159-992b-44e1-842e-c99ec293d333
John Evans,32,Austin,23118,951-271-4098,WA,afa62bf0-31b8-4b62-8c38-976121a6932a
Emily Foster,43,Seattle,76048,418-231-3454,CO,102ce94c-b645-4dd2-a021-4394fd35d5df
Alex Foster,57,Austin,69078,984-933-5256,CO,5ac4f7fd-9a22-42c8-9e53-44a2c1ea3140
Jane Baker,52,Atlanta,19098,317-309-1767,MA,a80ebfd3-d4b7-4aeb-aafb-48405de633b2
Jane Clark,45,Boston,39284,762-802-5625,MA,0adb0e0f-581e-4b3d-b4b3-ecfd82c2cc54
Chris Foster,55,Denver,92260,254-644-1426,WA,b24434c5-4736-44ab-8d88-e0e8f7dc3248
Jane Foster,67,Boston,39627,523-637-7251,GA,81dc71c1-3bb6-48cd-a4c1-b2837bd6d8dd
Alex Baker,24,Seattle,25049,753-408-3384,TX,476a1b0d-bc89-4a75-a087-bcb1d6902e1b
Jane Foster,55,Denver,36242,213-802-8003,CO,d42e0fe6-9577-46dd-b601-bd36ffd8af55
Jane Clark,64,Austin,85695,757-512-4278,GA,8e983dd1-e01b-4b69-a064-2d38cb649805
Jane Evans,30,Seattle,60929,343-985-8592,GA,97ee046c-e92f-4b8f-bd2e-08df713c5765
Alex Clark,49,Boston,49853,719-425-3411,MA,f21d31e8-69b7-48be-8beb-6eb71f08d7d3
Alex Clark,65,Seattle,78031,366-967-4418,GA,6e3d22e6-b49d-4ef0-ada7-5f9929f2344c
Jane Clark,66,Denver,52900,213-674-7511,WA,e9e922bc-f3e3-44df-b24f-71bbcbed6219
John Adams,31,Boston,66222,855-648-9510,TX,cddc226e-1d8c-454c-a9ea-8952f0ede052
John Foster,33,Boston,44092,909-617-6641,WA,d95fb3c8-5b77-417a-85d3-d5251dfc3837
Emily Baker,63,Atlanta,91210,700-469-8045,MA,995dbcf9-48c4-4afe-89f2-d5ca539f680e
Jane Evans,36,Denver,89530,847-974-7373,CO,609d0aeb-f668-41c2-b954-5b4ea82dd3e5
John Foster,68,Boston,33378,914-893-4138,WA,5c8b8dd3-367e-4660-9117-0d94c0decc91
Chris Clark,25,Atlanta,14264,220-248-2641,WA,179f60db-559b-476a-814f-94dd86ff76c9
John Baker,25,Boston,40297,821-629-8428,TX,57eedd24-8c4f-406d-8707-69b036ca8a72
Alex Foster,54,Denver,12177,445-708-3688,TX,f2070f47-64ae-40bc-a750-048a8cb97ee1
Jane Evans,44,Boston,64732,866-870-4127,MA,317a56f7-7e3b-44f4-8704-7c49b1ade7d2
Jane Foster,29,Denver,96699,240-838-6308,GA,e5da817b-7fa7-41f5-8606-471639f287b6
Alex Baker,56,Seattle,84488,227-961-3460,MA,8192ae9b-ff4b-4d12-a475-8710078206f2
Alex Baker,18,Atlanta,34946,724-879-9289,TX,90d40999-a642-483c-aceb-5076f236ec1e
Chris Adams,55,Denver,80745,421-955-7175,WA,9ed9ff26-3089-408a-a67a-2f22976512d8
Emily Evans,43,Boston,93024,705-552-3165,GA,e7a90b28-3861-41fa-8fb7-b90b4860c36c
Chris Adams,42,Denver,43775,237-539-5831,GA,b4bee462-8d9a-4162-81ad-1f180a866922
Chris Foster,61,Atlanta,53072,357-434-2748,CO,738ac544-1c1d-4882-aba3-957d9197bf24
Chris Baker,39,Austin,82188,415-904-8058,MA,216e2c0c-4c54-4def-9822-87f4490abdea
Chris Foster,25,Seattle,56414,402-953-9598,WA,d8c31937-4e77-481a-a834-2d4ef732a5c7
Alex Adams,32,Atlanta,95123,977-841-7002,WA,7bdc2bd0-8791-416f-84cf-ab662afe321a
Alex Foster,68,Boston,65016,900-333-2568,TX,0321b61c-840c-4860-947c-4954257c8c9e
Alex Adams,24,Seattle,91390,542-286-4568,MA,0b7b91ff-ce72-4697-86d3-9887c9615faa
Jane Baker,55,Atlanta,45005,296-483-7136,TX,2df74459-76c4-4ffb-a841-f2393e7f9d50
John Evans,43,Atlanta,63352,360-360-2382,MA,c1729218-ec53-4f2e-af97-6726a7e0fc96
Emily Clark,35,Denver,80567,213-438-5963,GA,a7a2d57f-79b3-4787-bd69-841f346c6fcf
Jane Adams,37,Seattle,17416,643-350-4292,MA,005fa0d9-bbc0-4004-baf5-58746b70d467
Emily Adams,24,Seattle,80269,228-859-3810,WA,6f2d2130-4494-4df2-a934-6320319c2041
Jane Clark,48,Denver,38557,634-980-1113,CO,6ae57673-00db-4076-bd0c-177eefdc8424
Emily Baker,54,Boston,49318,819-258-7683,CO,94a7a0e4-9a94-40c5-9637-61c6d968038a
Jane Evans,61,Seattle,82406,613-596-5556,MA,49067019-f2d5-4ddb-9e0e-56c89afec849
John Clark,57,Austin,64375,420-383-1577,CO,80f3a32b-673b-4f79-97da-30a28e5e0909
Jane Baker,42,Seattle,63417,922-584-3442,GA,ec04364f-b95b-4752-ac36-e0c8f01c48bd
Jane Adams,56,Denver,22397,364-855-1529,TX,c3fd528d-b1e0-4bd4-96b5-ed3f4562322e
Chris Adams,67,Boston,61607,788-583-3295,CO,832e3c4d-c236-46f2-87f8-c8156a8c3205
Jane Clark,36,Boston,33390,700-220-2321,CO,74b01521-259e-452d-8f92-9ede877dac4c
John Baker,63,Seattle,13978,363-412-5505,CO,3b1f54ba-3b0e-45b5-8826-672823385a54
John Foster,31,Seattle,20308,619-207-7738,GA,3cad2f5d-da65-4d1c-b74a-86c4f334d322
Emily Foster,57,Austin,97296,866-337-1951,MA,c258c95c-2b6c-404f-85cb-1bd52302662b
Emily Baker,60,Seattle,36243,998-988-9165,WA,6019aafd-c75e-4587-95e2-d7395974c1af
John Baker,51,Atlanta,15175,549-719-8855,WA,2555930d-4465-40fd-9beb-fbe296eb04b8
John Foster,65,Seattle,23829,886-734-8125,TX,fa04e3d2-19cd-49d5-87c1-fe969f9ace38
Emily Adams,70,Seattle,18459,671-247-4763,MA,2145c803-3de8-4dee-b470-828a3f579dd2
Chris Evans,39,Boston,49098,380-651-6723,TX,fb9cbb69-2944-4c9d-9ce0-7525e6dbaa85
Jane Evans,54,Austin,58366,814-499-5677,CO,6a2e63fc-e370-4408-ac95-667db3571f37
Jane Foster,59,Atlanta,69148,854-795-5989,CO,71ef0293-10eb-4854-ab0c-7a7b27a4ad45
Jane Evans,51,Denver,50370,461-299-5790,CO,ba45f335-ad48-42b4-aa42-dc68e493ba47
Jane Baker,19,Atlanta,16285,830-240-5209,TX,4e71de4b-0c9c-4a22-a3cd-a532a1a1ceb5
Emily Foster,68,Atlanta,99754,711-392-3203,GA,8c47a970-b163-4147-bbba-10823537dbca
Chris Foster,65,Austin,89535,668-645-6994,TX,bb5f9b5d-4d25-40b7-ae94-8dab067f021b
Alex Clark,42,Denver,83478,287-771-5988,WA,90520a81-5e65-482c-9d7e-fe215d9da318
Jane Baker,63,Atlanta,98604,670-675-6884,WA,b19bc8d7-5611-4905-979b-a550dfc7167c
Jane Clark,59,Denver,39075,631-555-5827,MA,0dfe1c16-2566-4375-a6e2-0d9fa5b5b64d
Emily Baker,31,Denver,70328,410-320-1291,MA,938b2d88-820e-4f65-a20f-e764a9ffe4c3
Alex Adams,65,Austin,27150,257-772-1977,TX,067bf32d-a344-4427-b22f-ef458557693c
Alex Baker,49,Atlanta,88208,376-247-9109,MA,c0056132-3fce-42eb-a1fc-764d0dbb469b
Alex Baker,58,Atlanta,79790,667-594-7158,CO,f39e58fd-7aee-415c-9329-e18c461b936b
Jane Clark,47,Austin,68197,905-692-5770,CO,d26ef623-b47f-4226-a84a-b9378caa5072
Jane Evans,23,Austin,92378,318-893-1701,CO,153d4647-d369-4da0-ac5d-75d1732e2123
